DOI,Citation,Location,Site_ID,Biome,Discharge_m3s,CO2_flux_gCm2day,pH,,Internal_Pathway_gCm2day,External_Pathway_gCm2day,Source,Source_Water,Unit_Conversions_Notes
10.1029/2022JG007048,"(Carter et al., 2022)","New Hope Creek, NC Piedmont, USA",WBP,Temperate forested headwater (Triassic basin),0.887,0.623,7.129,0.661,0.55,0.073,Mixed,Mixed; mean GW flux -0.04 m3/m2/d (loss-dominated reach),"Carter Supplement.csv per-site means (high-frequency: n_meta=11 daily metabolism, n_pH=10, n_flux=11). Distance upstream=6120 m. GPP_O2=0.670, ER_O2=2.027 gO2/m2/d. GPP_C=0.251=GPP*12/32; ER_C=0.912=|ER|*12/32*1.2 (RQ=1.2). CO2_flux_paper=2.283 g CO2/m2/d → ×12/44 = 0.623 g C/m2/d. Internal=ER_C-GPP_C; External=fco2_C-Internal. Lat=35.995, Lon=-79.0227. Note: paper figures show distances as 0/2.3/2.5/5/6.9/8.5 km but supplement codes (CBP/NHC/PM/UNHC/WB/WBP) with actual distances 0/1570/3450/5950/6120/8450 m are authoritative."
10.1029/2022JG007048,"(Carter et al., 2022)","New Hope Creek, NC Piedmont, USA",UNHC,Temperate forested headwater (Triassic basin),0.838,0.726,7.428,1.143,0.95,-0.224,Mixed,Mixed; mean GW flux -0.04 m3/m2/d (loss-dominated reach),"Carter Supplement.csv per-site means (high-frequency: n_meta=8 daily metabolism, n_pH=7, n_flux=8). Distance upstream=8450 m. GPP_O2=1.080, ER_O2=3.440 gO2/m2/d. GPP_C=0.405=GPP*12/32; ER_C=1.548=|ER|*12/32*1.2 (RQ=1.2). CO2_flux_paper=2.662 g CO2/m2/d → ×12/44 = 0.726 g C/m2/d. Internal=ER_C-GPP_C; External=fco2_C-Internal. Lat=35.9925, Lon=-79.0227. Note: paper figures show distances as 0/2.3/2.5/5/6.9/8.5 km but supplement codes (CBP/NHC/PM/UNHC/WB/WBP) with actual distances 0/1570/3450/5950/6120/8450 m are authoritative."
10.1029/2022JG006855,"(Taillardat et al., 2022)","Bouchard ombrotrophic peatland, La Romaine watershed, Quebec, Canada",P_start,Boreal ombrotrophic peatland,0,NOT REPORTED,NOT REPORTED,NOT REPORTED,#VALUE!,#VALUE!,Peatland porewater seepage,"Peatland porewater seepage (dominant); reach partition: 81% porewater, 17% metabolism, 2% CH4-ox","Taillardat Supplement.csv site averages (n=7). Q_m3s from supplement Q_m3s1 col. CO2_flux from supplement measuredmean_CO2_flux_mmolm2h1 × 24 (h/d) × 12/1000 (mmol→g C). pCO2 mean = 5183 ppm. pH NOT in supplement Table; per-site Internal/External cannot be partitioned (no per-site GPP/ER); paper reach-level partition: 81% porewater (External), 17% metabolism (Internal), 2% CH4 oxidation. P_start = source, no Q or flux measured."
10.1029/2022JG006855,"(Taillardat et al., 2022)","Bouchard ombrotrophic peatland, La Romaine watershed, Quebec, Canada",P_1,Boreal ombrotrophic peatland,0,NOT REPORTED,NOT REPORTED,NOT REPORTED,#VALUE!,#VALUE!,Peatland porewater seepage,"Peatland porewater seepage (dominant); reach partition: 81% porewater, 17% metabolism, 2% CH4-ox","Taillardat Supplement.csv site averages (n=7). Q_m3s from supplement Q_m3s1 col. CO2_flux from supplement measuredmean_CO2_flux_mmolm2h1 × 24 (h/d) × 12/1000 (mmol→g C). pCO2 mean = 5172 ppm. pH NOT in supplement Table; per-site Internal/External cannot be partitioned (no per-site GPP/ER); paper reach-level partition: 81% porewater (External), 17% metabolism (Internal), 2% CH4 oxidation. Site at Q≈0, no flux measured."
10.1029/2022JG006855,"(Taillardat et al., 2022)","Bouchard ombrotrophic peatland, La Romaine watershed, Quebec, Canada",P_2,Boreal ombrotrophic peatland,0.0092,3.46,NOT REPORTED,NOT REPORTED,#VALUE!,#VALUE!,Peatland porewater seepage,"Peatland porewater seepage (dominant); reach partition: 81% porewater, 17% metabolism, 2% CH4-ox","Taillardat Supplement.csv site averages (n=7). Q_m3s from supplement Q_m3s1 col. CO2_flux from supplement measuredmean_CO2_flux_mmolm2h1 × 24 (h/d) × 12/1000 (mmol→g C). pCO2 mean = 5183 ppm. pH NOT in supplement Table; per-site Internal/External cannot be partitioned (no per-site GPP/ER); paper reach-level partition: 81% porewater (External), 17% metabolism (Internal), 2% CH4 oxidation. "
10.1029/2022JG006855,"(Taillardat et al., 2022)","Bouchard ombrotrophic peatland, La Romaine watershed, Quebec, Canada",P_3,Boreal ombrotrophic peatland,0.0098,NOT REPORTED,NOT REPORTED,NOT REPORTED,#VALUE!,#VALUE!,Peatland porewater seepage,"Peatland porewater seepage (dominant); reach partition: 81% porewater, 17% metabolism, 2% CH4-ox","Taillardat Supplement.csv site averages (n=7). Q_m3s from supplement Q_m3s1 col. CO2_flux from supplement measuredmean_CO2_flux_mmolm2h1 × 24 (h/d) × 12/1000 (mmol→g C). pCO2 mean = 11381 ppm. pH NOT in supplement Table; per-site Internal/External cannot be partitioned (no per-site GPP/ER); paper reach-level partition: 81% porewater (External), 17% metabolism (Internal), 2% CH4 oxidation. Flux not measured at P_3 in supplement."
10.1029/2022JG006855,"(Taillardat et al., 2022)","Bouchard ombrotrophic peatland, La Romaine watershed, Quebec, Canada",P_4,Boreal ombrotrophic peatland,0.0107,8.013,NOT REPORTED,NOT REPORTED,#VALUE!,#VALUE!,Peatland porewater seepage,"Peatland porewater seepage (dominant); reach partition: 81% porewater, 17% metabolism, 2% CH4-ox","Taillardat Supplement.csv site averages (n=7). Q_m3s from supplement Q_m3s1 col. CO2_flux from supplement measuredmean_CO2_flux_mmolm2h1 × 24 (h/d) × 12/1000 (mmol→g C). pCO2 mean = 11436 ppm. pH NOT in supplement Table; per-site Internal/External cannot be partitioned (no per-site GPP/ER); paper reach-level partition: 81% porewater (External), 17% metabolism (Internal), 2% CH4 oxidation. "
10.1029/2022JG006855,"(Taillardat et al., 2022)","Bouchard ombrotrophic peatland, La Romaine watershed, Quebec, Canada",P_5,Boreal ombrotrophic peatland,0.0188,10.927,NOT REPORTED,NOT REPORTED,#VALUE!,#VALUE!,Peatland porewater seepage,"Peatland porewater seepage (dominant); reach partition: 81% porewater, 17% metabolism, 2% CH4-ox","Taillardat Supplement.csv site averages (n=7). Q_m3s from supplement Q_m3s1 col. CO2_flux from supplement measuredmean_CO2_flux_mmolm2h1 × 24 (h/d) × 12/1000 (mmol→g C). pCO2 mean = 9225 ppm. pH NOT in supplement Table; per-site Internal/External cannot be partitioned (no per-site GPP/ER); paper reach-level partition: 81% porewater (External), 17% metabolism (Internal), 2% CH4 oxidation. "
10.1029/2022JG006855,"(Taillardat et al., 2022)","Bouchard ombrotrophic peatland, La Romaine watershed, Quebec, Canada",P_6,Boreal ombrotrophic peatland,0.0209,10.669,NOT REPORTED,NOT REPORTED,#VALUE!,#VALUE!,Peatland porewater seepage,"Peatland porewater seepage (dominant); reach partition: 81% porewater, 17% metabolism, 2% CH4-ox","Taillardat Supplement.csv site averages (n=7). Q_m3s from supplement Q_m3s1 col. CO2_flux from supplement measuredmean_CO2_flux_mmolm2h1 × 24 (h/d) × 12/1000 (mmol→g C). pCO2 mean = 4473 ppm. pH NOT in supplement Table; per-site Internal/External cannot be partitioned (no per-site GPP/ER); paper reach-level partition: 81% porewater (External), 17% metabolism (Internal), 2% CH4 oxidation. "
10.1029/2022JG006855,"(Taillardat et al., 2022)","Bouchard ombrotrophic peatland, La Romaine watershed, Quebec, Canada",P_outlet,Boreal ombrotrophic peatland,0.0235,5.027,NOT REPORTED,NOT REPORTED,#VALUE!,#VALUE!,Peatland porewater seepage,"Peatland porewater seepage (dominant); reach partition: 81% porewater, 17% metabolism, 2% CH4-ox","Taillardat Supplement.csv site averages (n=8). Q_m3s from supplement Q_m3s1 col. CO2_flux from supplement measuredmean_CO2_flux_mmolm2h1 × 24 (h/d) × 12/1000 (mmol→g C). pCO2 mean = 8152 ppm. pH NOT in supplement Table; per-site Internal/External cannot be partitioned (no per-site GPP/ER); paper reach-level partition: 81% porewater (External), 17% metabolism (Internal), 2% CH4 oxidation. Outlet station."
10.1029/2022JG006954,"(Kirk & Cohen, 2023)","Santa Fe River, Florida, USA",DRAIN,Lowland subtropical,0.02,7.1,4.33,2.97,2.48,4.62,Riparian groundwater,"Riparian groundwater (pCO2 50,100 ppm); confined aquifer","GPP_O2=0.0, ER_O2=6.6 gO2/m2/d (Tab1). GPP_C=0.00; ER_C=2.97 (×12/32×1.2, RQ=1.2). Internal=2.97."
10.1029/2022JG006954,"(Kirk & Cohen, 2023)","Santa Fe River, Florida, USA",SF700,Lowland subtropical,0.5,4.7,5.09,1.89,1.58,3.12,Riparian groundwater,"Riparian groundwater (pCO2 42,300 ppm); upland","GPP_O2=0.0, ER_O2=4.2 gO2/m2/d (Tab1). GPP_C=0.00; ER_C=1.89 (×12/32×1.2, RQ=1.2). Internal=1.89."
10.1029/2022JG006954,"(Kirk & Cohen, 2023)","Santa Fe River, Florida, USA",SF1000,Lowland subtropical,0.4,3.1,5.91,4.59,3.83,-0.73,Riparian groundwater,"Riparian (pCO2 73,500 ppm); FLAG: anomalously low CO2 flux relative to ER","GPP_O2=0.0, ER_O2=10.2 gO2/m2/d (Tab1). GPP_C=0.00; ER_C=4.59 (×12/32×1.2, RQ=1.2). Internal=4.59."
10.1029/2022JG006954,"(Kirk & Cohen, 2023)","Santa Fe River, Florida, USA",SF1500,Lowland subtropical,1.8,6.5,6.14,4.85,4.04,2.46,Riparian groundwater,Riparian + upland,"GPP_O2=0.5, ER_O2=11.2 gO2/m2/d (Tab1). GPP_C=0.19; ER_C=5.04 (×12/32×1.2, RQ=1.2). Internal=4.85."
10.1029/2022JG006954,"(Kirk & Cohen, 2023)","Santa Fe River, Florida, USA",ICHE,Lowland subtropical,9.6,4.7,7.15,-0.3,-0.25,4.95,Spring-fed,"Discrete spring inputs (deep unconfined karst); pCO2 7,100 ppm","GPP_O2=7.8, ER_O2=7.0 (Tab1). NET AUTOTROPHIC per instructions (GPP>ER); Internal=(ER-GPP)*12/32=-0.30. External=5.00."
10.1029/2022JG006954,"(Kirk & Cohen, 2023)","Santa Fe River, Florida, USA",SF2500,Lowland subtropical,38.3,8,7.06,-0.19,-0.16,8.16,Groundwater-fed,Deep aquifer via 28 named springs,"GPP_O2=6.5, ER_O2=6.0 (Tab1). NET AUTOTROPHIC per instructions (GPP>ER); Internal=(ER-GPP)*12/32=-0.19. External=8.19."
10.1029/2022JG006954,"(Kirk & Cohen, 2023)","Santa Fe River, Florida, USA",SF2800,Lowland subtropical,50.9,6.4,7.67,3.52,2.93,3.47,Spring-fed,Riparian + upland; few springs; FLAG only 3 days data,"GPP_O2=1.4, ER_O2=9.0 gO2/m2/d (Tab1). GPP_C=0.52; ER_C=4.05 (×12/32×1.2, RQ=1.2). Internal=3.52."
10.1002/lno.11134,"(Lupon et al., 2019)","Krycklan Catchment, northern Sweden (C5-C6 reach, 1.4 km)",C5-C6 whole reach,Boreal forest with peat riparian,0.006,4.2,5.4,4.5,3.75,0.45,Groundwater-fed,Groundwater-fed gaining reach with 5 main riparian inputs from peat-rich anoxic soils,Single whole-reach values (paper does not subdivide). Mean Q ≈3.5-6.5 L/s C5; midpoint=6 L/s. CO2 flux mean ~4.2 g C/m2/d (Discussion). Internal taken as midpoint ~4.5 (in-stream FS_CO2 17-51% of evasion). GW_CO2 input ~4.75 g C/m2/d but methodology is whole-reach. External NOT cleanly reportable per-site.
10.1002/lno.12226,"(Bernal et al., 2022)","La Tordera headwater catchment, Catalonia, Spain (Montseny Natural Park)",Font del Regàs (perennial),Mediterranean granitic montane,0.05536,6.3,6.5,4.536,3.78,2.52,Riparian groundwater,Mediterranean headwater stream,"Bernal Supplement.xlsx 'output streamMetabolizer REGAS' sheet, n=62 daily values. Q_L/s=55.36=0.05536 m3/s. GPP_O2=0.207, ER_O2=-10.252 gO2/m2/d. GPP_C=0.078; ER_C=4.613 (×12/32×1.2 RQ=1.2). Internal=ER_C-GPP_C=4.536. CO2 flux not in supplement; using paper-reported value where available. pH SEARCH (Sabater et al. Frontiers 2019, ResearchGate fig caption): pH circumneutral for both Font del Regàs sites; specific value not retrieved. pH=6.5 (midpoint of ""mean pH ~6-7"" reported in Bernal et al. 2022 for both granitic La Tordera streams; Bernal Supplement.xlsx does NOT contain pH; per-stream pH not separately reported). Source: Bernal et al. 2022."
10.1002/lno.12226,"(Bernal et al., 2022)","La Tordera headwater catchment, Catalonia, Spain (Montseny Natural Park)",Fuirosos (non-perennial),Mediterranean granitic montane,0.00198,NOT REPORTED,6.5,1.343,1.12,#VALUE!,Riparian groundwater,Mediterranean headwater stream,"Bernal Supplement.xlsx 'output streamMetabolizer FUI' sheet, n=46 daily values. Q_L/s=1.98=0.00198 m3/s. GPP_O2=0.336, ER_O2=-3.265 gO2/m2/d. GPP_C=0.126; ER_C=1.469 (×12/32×1.2 RQ=1.2). Internal=ER_C-GPP_C=1.343. CO2 flux not in supplement; using paper-reported value where available. pH SEARCH: Fuirosos = Mediterranean intermittent stream on leucogranite catchment (10.5 km², Sant Celoni); circumneutral for granite-drained Mediterranean catchments. CO2 flux not directly retrievable from supplement. pH=6.5 (midpoint of ""mean pH ~6-7"" reported in Bernal et al. 2022 for both granitic La Tordera streams; Bernal Supplement.xlsx does NOT contain pH; per-stream pH not separately reported). Source: Bernal et al. 2022."
10.1002/lno.70372,"(Rexroade et al., 2026)","Education Creek, Litchfield National Park, Northern Territory, Australia",EC (upstream),Tropical wet/dry savanna with riparian vine forest,0.027,8.45,4.642,0.32,0.27,8.18,Riparian groundwater,Lateral inputs from riparian groundwater + saturated soils + subsurface stormflow (~81% of CO2 load),"Rexoade pH.csv supplement: pH per-site annual mean = 4.642 (n=13 samples). Site: EC (upstream) (EC=upstream, EC.DS=downstream). Q=0.027 m3/s annual mean (avg of agent-reported wet+dry seasonal means). CO2 flux=8.45 g C/m2/d annual mean = avg(13.9 wet, 3.0 dry) reach-wide. Internal=ER annual mean=avg(0.215 wet, 0.432 dry)=0.32 (in g C-CO2 directly, no RQ needed). External=8.45-0.32=8.13. Paper does not split CO2_flux per site; same values applied to both. GPP not reported separately. Supplement also has piezometer pH data (~4.5-4.8) and 9 subsurface stations SS1-SS9 (no pH data — likely soil moisture only)."
10.1002/lno.70372,"(Rexroade et al., 2026)","Education Creek, Litchfield National Park, Northern Territory, Australia",EC.DS (downstream),Tropical wet/dry savanna with riparian vine forest,0.0535,8.45,5.079,0.32,0.27,8.18,Riparian groundwater,Lateral inputs from riparian groundwater + saturated soils + subsurface stormflow (~81% of CO2 load),"Rexoade pH.csv supplement: pH per-site annual mean = 5.079 (n=14 samples). Site: EC.DS (downstream) (EC=upstream, EC.DS=downstream). Q=0.0535 m3/s annual mean (avg of agent-reported wet+dry seasonal means). CO2 flux=8.45 g C/m2/d annual mean = avg(13.9 wet, 3.0 dry) reach-wide. Internal=ER annual mean=avg(0.215 wet, 0.432 dry)=0.32 (in g C-CO2 directly, no RQ needed). External=8.45-0.32=8.13. Paper does not split CO2_flux per site; same values applied to both. GPP not reported separately. Supplement also has piezometer pH data (~4.5-4.8) and 9 subsurface stations SS1-SS9 (no pH data — likely soil moisture only)."
10.1007/s10533-022-00954-4,"(Marzolf et al., 2022)","La Selva Biological Station, Costa Rica (Taconazo stream)",Taconazo lower reach,Neotropical lowland rainforest,0.017,2.16,5.32,1.08,0.9,1.26,Riparian groundwater,"Riparian groundwater (pCO2 ~6,343 ppm) + dominant in-stream metabolism",F_CO2=0.18 mol CO2/m2/d ×12=2.16 gC. NEP=0.09 mol→1.08 gC/m2/d (median Fig6). GW_CO2=0.028 mol→0.336 gC/m2/d. Mass balance residual: 2.16-1.42=0.74 (~34% unexplained per paper). pH median 5.32 (Tab1).
10.5194/bg-19-137-2022,"(Moustapha et al., 2022)","Mengong catchment (first-order), Nyong River basin, southern Cameroon",Source_Mengong (groundwater),Tropical lowland rainforest (non-flooded forest GW),0.00544,NOT REPORTED,5.036,NOT REPORTED,#VALUE!,#VALUE!,Riparian groundwater,Non-flooded forest groundwater (perennial source),"Moustapha Supplement.xlsx station means (n=22): pH=5.036, pCO2=78,812 ppm. CO2 flux not reported as direct degassing at GW source. Q from water budget Eq.1."
10.5194/bg-19-137-2022,"(Moustapha et al., 2022)","Mengong wetland, Nyong River basin, Cameroon",Mengong wetland,Tropical wetland (hydromorphic system),NOT REPORTED,NOT REPORTED,5.5,NOT REPORTED,#VALUE!,#VALUE!,Wetland porewater,Wetland porewater (permanently saturated organic-rich soil),"Wetland topsoil porewater (0.4 m). pH=5.5±0.6 from main paper Tab2 (not in supplement; supplement has only stream stations). pCO2=36,840 ppm. C export 4.0±1.5 MgC/yr area-weighted. DOC 45%, DIC 45%, POC 5%."
10.5194/bg-19-137-2022,"(Moustapha et al., 2022)","Mengong stream outlet (Stream Order 1), Nyong basin, Cameroon",Outlet_Mengong (Order 1),Tropical first-order forest stream,0.009,0.175,5.635,0.018,0.02,0.155,Mixed,Mixed: 83% non-flooded forest GW + 17% wetland porewater (lateral inputs),Supplement station mean (n=19): pH=5.635 (matches paper 5.6±0.2). CO2 flux from Tab6: 64 g C-CO2/m2/yr ÷365=0.175. Per-paper synthesis: ~10% of degassing supported by in-river resp; 90% lateral. Internal=0.10×0.175=0.018; External=0.90×0.175=0.158.
