DOI,Citation,Location,Site_ID,Biome,Discharge_m3s,CO2_flux_gCm2day,pH,Temperature_C,Internal_Pathway_gCm2day,External_Pathway_gCm2day,Source_Water,Source_Water_Brief,Unit_Conversions_Notes,Source,Biome_Category,Mean_Annual_Precipitation_cm_yr
10.1029/2022JG007048,"(Carter et al., 2022)","New Hope Creek, North Carolina Piedmont, USA — an 8.5 km third-order forested stream reach within the Duke Forest in Durham and Orange Counties, NC",UNHC,"temperate forested low-gradient headwater stream, North Carolina Piedmont",0.838,0.726,7.428,10.91,0.885,-0.159,"Groundwater-influenced, gaining/losing baseflow stream; low-gradient, fully forested Piedmont stream with reach-scale groundwater exchange along New Hope Creek",Mixed,"Carter Supplement.csv per-site means (n_pH=7). Distance upstream=8450 m (n=8). GPP_O2=1.080, ER_O2=3.440 gO2/m2/d. GPP_C=GPP_O2*12/32=0.405; ER_C=|ER|*12/32*1.0 (RQ=1.0)=1.290 gC/m2/d. Internal=ER_C-GPP_C; External=CO2_flux-Internal. CO2_flux_paper (g CO2/m2/d) x12/44 = g C/m2/d. FLAG: BACKCALC",Carter Supplement.csv (per-site high-frequency sensor table),Temperate,118.6
10.1029/2022JG007048,"(Carter et al., 2022)","New Hope Creek, North Carolina Piedmont, USA — an 8.5 km third-order forested stream reach within the Duke Forest in Durham and Orange Counties, NC",WB,"temperate forested low-gradient headwater stream, North Carolina Piedmont",0.891,0.682,7.224,10.26,0.539,0.143,"Groundwater-influenced, gaining/losing baseflow stream; low-gradient, fully forested Piedmont stream with reach-scale groundwater exchange along New Hope Creek",Mixed,"Carter Supplement.csv per-site means (n_pH=10). Distance upstream=5950 m (n=11). GPP_O2=0.787, ER_O2=2.226 gO2/m2/d. GPP_C=GPP_O2*12/32=0.295; ER_C=|ER|*12/32*1.0 (RQ=1.0)=0.835 gC/m2/d. Internal=ER_C-GPP_C; External=CO2_flux-Internal. CO2_flux_paper (g CO2/m2/d) x12/44 = g C/m2/d. FLAG: BACKCALC",Carter Supplement.csv (per-site high-frequency sensor table),Temperate,118.6
10.1029/2022JG007048,"(Carter et al., 2022)","New Hope Creek, North Carolina Piedmont, USA — an 8.5 km third-order forested stream reach within the Duke Forest in Durham and Orange Counties, NC",WBP,"temperate forested low-gradient headwater stream, North Carolina Piedmont",0.887,0.623,7.129,10.27,0.509,0.114,"Groundwater-influenced, gaining/losing baseflow stream; low-gradient, fully forested Piedmont stream with reach-scale groundwater exchange along New Hope Creek",Mixed,"Carter Supplement.csv per-site means (n_pH=10). Distance upstream=6120 m (n=11). GPP_O2=0.670, ER_O2=2.027 gO2/m2/d. GPP_C=GPP_O2*12/32=0.251; ER_C=|ER|*12/32*1.0 (RQ=1.0)=0.760 gC/m2/d. Internal=ER_C-GPP_C; External=CO2_flux-Internal. CO2_flux_paper (g CO2/m2/d) x12/44 = g C/m2/d. FLAG: BACKCALC",Carter Supplement.csv (per-site high-frequency sensor table),Temperate,118.6
10.1002/lno.70016,"(Diamond et al., 2025)","Loire River at Dampierre (47.6N, 2.6E), France, ~10 km study reach, 35,500 km2 catchment",1990-2022 (whole record),"large temperate alkaline lowland river, calcareous bedrock (same site as Nguyen et al. 2025)",300,1.092,8.2,13.3,0.348,0.744,"Large lowland regulated river; ~10 km reach on calcareous bedrock (high alkalinity), discharge managed via upstream hydropower regulation (EDF)",Mixed,"Median daily FCO2=91 mmol C/m2/d (IQR 6.6-262) and median daily NEP=-29 mmol C/m2/d (IQR -130 to 53), whole-record 1990-2022 (Results 'Regular, but small negative internal CO2 production') -- NOT the Table 1 per-trophlux-sub-state breakdown (see code comment: no paper-computed whole-river-per-regime aggregate exists to use instead). Both already carbon-referenced via the paper's own explicit 1:1 O2:C conversion (Methods: no prior PQ/RQ evidence, so 1:1 assumed) -- NOT re-run through this pipeline's RQ=1.0 formula. CO2_flux=1.092, Internal_Pathway=-NEP=0.348 gC/m2/d (mmol/m2/d x12/1000). External_Pathway=CO2_flux-Internal=0.744 gC/m2/d (BACKCALC). Discharge = mean 300 m3/s (median 200 m3/s), Study site. pH and Temperature_C NOT REPORTED: this paper draws on the same EDF-proprietary hourly pH/temperature dataset as Nguyen et al. 2025 (whose own paper DOES state a per-decade mean temperature from the same site, ~13-14C, Table 1) -- but Diamond's own text gives no numeric mean/median for either variable, only relative statements (e.g. 'pH was typically an entire unit lower' between trophlux states). Temperature_C=13.3: this paper's own text gives no numeric mean/median water temperature, but a user-supplied reference document ('Temp for Diamond 2025.docx', Fig. S1c) shows the same Dampierre-site hourly water temperature series (~1993-2019) oscillating between ~0-5C (winter) and ~25-30C (summer) with no visible long-term trend -- consistent with Nguyen et al. 2025's own published per-decade means (13, 13, 14C) for the identical site/dataset. Value used here is the record-length-weighted average of Nguyen's three decade means (11yr@13 + 10yr@13 + 11yr@14)/32 = 13.3C, since Diamond's own text/figure doesn't provide a single citable number directly.","Results 'Regular, but small negative internal CO2 production' + Table 1 (context) + Methods 'Study site', Diamond et al. 2025",Temperate,66
10.1029/2018JG004912,"(Duvert et al., 2019)","Northern Territory, Australia (Daly River, 47,100 km2 catchment; Howard River, 130 km2 catchment)",Daly River,"tropical savanna river, seasonal wet/dry tropics",24,8.5,7.94,27.5,1.8,6.7,Groundwater/baseflow-fed; dry-season flow dominated by a mixture of shallow local sandstone and deeper regional carbonate aquifers,Mixed,"Table 2 (mass-balance CO2 evasion flux) + section 4.2 (GW-derived CO2* length-weighted mean) + section 3.3 (pH) + section 3.1 (discharge range, midpoint used), hand-verified from PDF. Internal = CO2_evasion_flux - GW_CO2_flux = 8.5 - 6.7 = 1.800 gC/m2/d (222Rn-derived groundwater mass balance, paper's own method, not the GPP/ER RQ formula -- unaffected by the RQ setting above). External = GW_CO2_flux = 6.7 gC/m2/d. Temperature_C NOT REPORTED: no numeric mean water temperature found anywhere in the accessible text. Temperature_C=27.50: mean of Table S1 per-site T values (D1-D10) from user-supplied 'duvert temp.docx' (converted embedded Table S1 image), replacing the earlier NOT REPORTED.","Table 2 + Results sections 3.1, 3.3, 4.2, Duvert et al. 2019",Tropical,103.6
10.1029/2018JG004912,"(Duvert et al., 2019)","Northern Territory, Australia (Daly River, 47,100 km2 catchment; Howard River, 130 km2 catchment)",Howard River,"tropical savanna river, seasonal wet/dry tropics",0.105,2.3,6.85,26.51,0.6,1.7,"Groundwater/baseflow-fed; shallow sandstone aquifer supplies upstream reaches, deeper dolomite aquifer contributes downstream (~10% of annual rainfall reaches the water table)",Mixed,"Table 2 (mass-balance CO2 evasion flux) + section 4.2 (GW-derived CO2* length-weighted mean) + section 3.3 (pH) + section 3.1 (discharge range, midpoint used), hand-verified from PDF. Internal = CO2_evasion_flux - GW_CO2_flux = 2.3 - 1.7 = 0.600 gC/m2/d (222Rn-derived groundwater mass balance, paper's own method, not the GPP/ER RQ formula -- unaffected by the RQ setting above). External = GW_CO2_flux = 1.7 gC/m2/d. Temperature_C NOT REPORTED: no numeric mean water temperature found anywhere in the accessible text. Temperature_C=26.51: mean of Table S1 per-site T values (H1-H9) from user-supplied 'duvert temp.docx' (converted embedded Table S1 image), replacing the earlier NOT REPORTED.","Table 2 + Results sections 3.1, 3.3, 4.2, Duvert et al. 2019",Tropical,172.6
10.1016/j.ecolind.2021.108136,"(Gong et al., 2021)","Yankou Reservoir Catchment (53.5 km2) and Tianmu Lake Catchment (150 km2), Changjiang River headwaters, Zhejiang/Jiangsu, Southeastern China","5 headwater streams (HSX, SH, JFZ, XS, ZT), pooled","subtropical monsoon headwater streams, mountainous/agricultural catchments (mixed carbonate and silicate weathering lithology)",0.83,4.247,8.1,NOT REPORTED,0.47,3.777,Monsoon rainfall-fed mountain headwater streams; subtropical monsoon climate with precipitation concentrated May-September (no explicit groundwater/karst contribution reported),Surface runoff,"GPP=1.52, ER=-1.99, NEP=-0.47 gC/m2/d -- paper's own already-carbon-referenced whole-study values (Conclusions; cross-checked against docx supplement Table S1's mean+-95%CI). Internal_Pathway=-NEP=0.470 gC/m2/d (NOT re-run through this pipeline's RQ=1.0 O2-based formula -- would double-convert). CO2_flux = 1550 +/- 1281 gC/m2/yr (day+night averaged emission rate, Conclusions) /365 = 4.247 gC/m2/d. External_Pathway = CO2_flux - Internal = 3.777 gC/m2/d (BACKCALC). Discharge = 0.83 m3/s (docx supplement Table S1 mean, 95% CI 0.46-1.2). pH = 8.10, midpoint of the combined daytime (7.05-9.22) / nighttime (6.98-9.12) range stated in Results 3.1 -- no single mean/median pH value given in the accessible text, so this is a range midpoint, not a true mean (same convention as Lupon et al. 2019's discharge in this pipeline). Temperature_C NOT REPORTED: only a regional annual air-temperature climate figure is given (17C in YRC, 17.5C in TLC; Study area), not a stream water temperature measurement. Table 2 (per-site GPP/ER/HR/NEP/pCO2 results) could not be reliably attributed to individual sites due to PDF table-extraction corruption -- see code comment.","Conclusions + docx supplement Table S1 (whole-study means), Gong et al. 2021",Subtropical,139.4
10.1029/2019JG005047,"(Horgby et al., 2019)","Vallon de Nant catchment (13.4 km2), Swiss Alps",Autumn,Alpine nivo-glacial headwater stream network,0.14,22.499,8.089,3.74,1.249,22.499,"Nivo-glacial catchment; groundwater-dominated baseflow (~55-66%) via springs, glacial/snowmelt input receding",Groundwater-fed,"pH and Temperature_C: mean of 47 main-channel supplement samples for this season (Horgby-et-al-Supplementary-data.xlsx, 'Streamwater data' sheet; season parsed from ID prefix). Discharge: paper's own seasonal mainstem average (Results 3.1, n=46 sampling sites this season per Table 2). CO2_flux: paper's own areal CO2 evasion flux average across the stream network (Results 3.5/Table 5) = 21.7 umol C/m2/s x 12 x 86400/1e6 = 22.499 gC/m2/d (from the Ulseth et al. 2019 gas-transfer-velocity model, not recomputed here). External_Pathway = CO2_flux (100%): Results 3.4's isotope mixing model partitions the ENTIRE streamwater CO2 source between soil respiration (50% this season) and carbonate mineral weathering (remainder) -- both delivered via groundwater from outside the stream, so both count as External under this pipeline's definition (correcting an earlier version of this recipe that mislabeled the carbonate-weathering share as 'Internal'). Internal_Pathway UPDATED (user instruction): the Discussion (p.1972) separately tests genuine in-stream ecosystem respiration via a DOC/d13C-DIC mass-balance sensitivity check and concludes it 'contributed only marginally' (DOC-fueled respiration could explain at most ~0.14 permil of isotopic enrichment, requiring an implausible 86.4% DOC increase to fully explain the observed shift), 'in general agreement' with results from Hotchkiss et al. (2015)'s continental-scale synthesis of U.S. streams -- but the paper itself never converts this into a flux value. Per user instruction, Internal_Pathway is instead estimated by log-linear interpolation (on log10 discharge) of Hotchkiss et al. (2015)'s discharge-vs-internal(ecosystem-respiration)-CO2-flux relationship (table digitized in C:/Dissertation/03_Scripts/Streams/figures/meta analysis.R), evaluated at this season's mean discharge (Q=0.14 m3/s): internal = 1.249 gC/m2/d. This is a literature-derived proxy, NOT a value reported by Horgby et al. themselves, and is NOT subtracted from External_Pathway (which remains Horgby's own isotope-based 100% partition per Results 3.4) -- Internal+External therefore exceeds CO2_flux by this proxy amount, flagged here rather than mass-balance-closed.","Table 2 (sampling n) + supplement xlsx (pH) + Results 3.1 (discharge) + Results 3.5/Table 5 (CO2 evasion flux) + Results 3.4 (source apportionment %) + Discussion p.1972 (in-stream respiration sensitivity check), Horgby et al. 2019",Alpine,185
10.1029/2019JG005047,"(Horgby et al., 2019)","Vallon de Nant catchment (13.4 km2), Swiss Alps",Spring,Alpine nivo-glacial headwater stream network,0.97,50.7,8.223,5.36,1.209,50.7,"Nivo-glacial catchment; groundwater-dominated baseflow (~55-66%) via springs, seasonal snowpack melt onset",Groundwater-fed,"pH and Temperature_C: mean of 32 main-channel supplement samples for this season (Horgby-et-al-Supplementary-data.xlsx, 'Streamwater data' sheet; season parsed from ID prefix). Discharge: paper's own seasonal mainstem average (Results 3.1, n=49 sampling sites this season per Table 2). CO2_flux: paper's own areal CO2 evasion flux average across the stream network (Results 3.5/Table 5) = 48.9 umol C/m2/s x 12 x 86400/1e6 = 50.700 gC/m2/d (from the Ulseth et al. 2019 gas-transfer-velocity model, not recomputed here). External_Pathway = CO2_flux (100%): Results 3.4's isotope mixing model partitions the ENTIRE streamwater CO2 source between soil respiration (74% this season) and carbonate mineral weathering (remainder) -- both delivered via groundwater from outside the stream, so both count as External under this pipeline's definition (correcting an earlier version of this recipe that mislabeled the carbonate-weathering share as 'Internal'). Internal_Pathway UPDATED (user instruction): the Discussion (p.1972) separately tests genuine in-stream ecosystem respiration via a DOC/d13C-DIC mass-balance sensitivity check and concludes it 'contributed only marginally' (DOC-fueled respiration could explain at most ~0.14 permil of isotopic enrichment, requiring an implausible 86.4% DOC increase to fully explain the observed shift), 'in general agreement' with results from Hotchkiss et al. (2015)'s continental-scale synthesis of U.S. streams -- but the paper itself never converts this into a flux value. Per user instruction, Internal_Pathway is instead estimated by log-linear interpolation (on log10 discharge) of Hotchkiss et al. (2015)'s discharge-vs-internal(ecosystem-respiration)-CO2-flux relationship (table digitized in C:/Dissertation/03_Scripts/Streams/figures/meta analysis.R), evaluated at this season's mean discharge (Q=0.97 m3/s): internal = 1.209 gC/m2/d. This is a literature-derived proxy, NOT a value reported by Horgby et al. themselves, and is NOT subtracted from External_Pathway (which remains Horgby's own isotope-based 100% partition per Results 3.4) -- Internal+External therefore exceeds CO2_flux by this proxy amount, flagged here rather than mass-balance-closed.","Table 2 (sampling n) + supplement xlsx (pH) + Results 3.1 (discharge) + Results 3.5/Table 5 (CO2 evasion flux) + Results 3.4 (source apportionment %) + Discussion p.1972 (in-stream respiration sensitivity check), Horgby et al. 2019",Alpine,185
10.1029/2019JG005047,"(Horgby et al., 2019)","Vallon de Nant catchment (13.4 km2), Swiss Alps",Summer,Alpine nivo-glacial headwater stream network,0.23,18.455,7.997,6.36,1.315,18.455,"Nivo-glacial catchment; glacial meltwater dominant (up to ~92% at glacier-proximal reaches), reduced groundwater fraction",Glacial/snow melt,"pH and Temperature_C: mean of 61 main-channel supplement samples for this season (Horgby-et-al-Supplementary-data.xlsx, 'Streamwater data' sheet; season parsed from ID prefix). Discharge: paper's own seasonal mainstem average (Results 3.1, n=61 sampling sites this season per Table 2). CO2_flux: paper's own areal CO2 evasion flux average across the stream network (Results 3.5/Table 5) = 17.8 umol C/m2/s x 12 x 86400/1e6 = 18.455 gC/m2/d (from the Ulseth et al. 2019 gas-transfer-velocity model, not recomputed here). External_Pathway = CO2_flux (100%): Results 3.4's isotope mixing model partitions the ENTIRE streamwater CO2 source between soil respiration (67% this season) and carbonate mineral weathering (remainder) -- both delivered via groundwater from outside the stream, so both count as External under this pipeline's definition (correcting an earlier version of this recipe that mislabeled the carbonate-weathering share as 'Internal'). Internal_Pathway UPDATED (user instruction): the Discussion (p.1972) separately tests genuine in-stream ecosystem respiration via a DOC/d13C-DIC mass-balance sensitivity check and concludes it 'contributed only marginally' (DOC-fueled respiration could explain at most ~0.14 permil of isotopic enrichment, requiring an implausible 86.4% DOC increase to fully explain the observed shift), 'in general agreement' with results from Hotchkiss et al. (2015)'s continental-scale synthesis of U.S. streams -- but the paper itself never converts this into a flux value. Per user instruction, Internal_Pathway is instead estimated by log-linear interpolation (on log10 discharge) of Hotchkiss et al. (2015)'s discharge-vs-internal(ecosystem-respiration)-CO2-flux relationship (table digitized in C:/Dissertation/03_Scripts/Streams/figures/meta analysis.R), evaluated at this season's mean discharge (Q=0.23 m3/s): internal = 1.315 gC/m2/d. This is a literature-derived proxy, NOT a value reported by Horgby et al. themselves, and is NOT subtracted from External_Pathway (which remains Horgby's own isotope-based 100% partition per Results 3.4) -- Internal+External therefore exceeds CO2_flux by this proxy amount, flagged here rather than mass-balance-closed.","Table 2 (sampling n) + supplement xlsx (pH) + Results 3.1 (discharge) + Results 3.5/Table 5 (CO2 evasion flux) + Results 3.4 (source apportionment %) + Discussion p.1972 (in-stream respiration sensitivity check), Horgby et al. 2019",Alpine,185
10.1029/2019JG005047,"(Horgby et al., 2019)","Vallon de Nant catchment (13.4 km2), Swiss Alps",Winter,Alpine nivo-glacial headwater stream network,0.07,33.281,8.242,1.98,1.149,33.281,"Nivo-glacial catchment; groundwater-dominated baseflow (~55-66%) via springs, minimal snowmelt/glacial input",Groundwater-fed,"pH and Temperature_C: mean of 35 main-channel supplement samples for this season (Horgby-et-al-Supplementary-data.xlsx, 'Streamwater data' sheet; season parsed from ID prefix). Discharge: paper's own seasonal mainstem average (Results 3.1, n=35 sampling sites this season per Table 2). CO2_flux: paper's own areal CO2 evasion flux average across the stream network (Results 3.5/Table 5) = 32.1 umol C/m2/s x 12 x 86400/1e6 = 33.281 gC/m2/d (from the Ulseth et al. 2019 gas-transfer-velocity model, not recomputed here). External_Pathway = CO2_flux (100%): Results 3.4's isotope mixing model partitions the ENTIRE streamwater CO2 source between soil respiration (58% this season) and carbonate mineral weathering (remainder) -- both delivered via groundwater from outside the stream, so both count as External under this pipeline's definition (correcting an earlier version of this recipe that mislabeled the carbonate-weathering share as 'Internal'). Internal_Pathway UPDATED (user instruction): the Discussion (p.1972) separately tests genuine in-stream ecosystem respiration via a DOC/d13C-DIC mass-balance sensitivity check and concludes it 'contributed only marginally' (DOC-fueled respiration could explain at most ~0.14 permil of isotopic enrichment, requiring an implausible 86.4% DOC increase to fully explain the observed shift), 'in general agreement' with results from Hotchkiss et al. (2015)'s continental-scale synthesis of U.S. streams -- but the paper itself never converts this into a flux value. Per user instruction, Internal_Pathway is instead estimated by log-linear interpolation (on log10 discharge) of Hotchkiss et al. (2015)'s discharge-vs-internal(ecosystem-respiration)-CO2-flux relationship (table digitized in C:/Dissertation/03_Scripts/Streams/figures/meta analysis.R), evaluated at this season's mean discharge (Q=0.07 m3/s): internal = 1.149 gC/m2/d. This is a literature-derived proxy, NOT a value reported by Horgby et al. themselves, and is NOT subtracted from External_Pathway (which remains Horgby's own isotope-based 100% partition per Results 3.4) -- Internal+External therefore exceeds CO2_flux by this proxy amount, flagged here rather than mass-balance-closed.","Table 2 (sampling n) + supplement xlsx (pH) + Results 3.1 (discharge) + Results 3.5/Table 5 (CO2 evasion flux) + Results 3.4 (source apportionment %) + Discussion p.1972 (in-stream respiration sensitivity check), Horgby et al. 2019",Alpine,185
10.1016/j.jhydrol.2014.03.070,"(Khadka et al., 2014)","Santa Fe River watershed (~3585 km2), north-central Florida, USA",Lower_SFR,subtropical karst river,NOT REPORTED,1.101,7.38,NOT REPORTED,0.551,0.551,"Spring-fed, unconfined karst aquifer; numerous first-magnitude springs (>2.8 m3/s) are the primary water source, river re-emerges from underground conduits at River Rise",Groundwater-fed,"Table 2 day-weighted annual CO2 degassing rate (402 gC/m2/yr) / 365 = 1.101 gC/m2/d, lower Santa Fe River (unconfined, spring-fed Floridan aquifer karst; sites River Rise, 2500, 2700 [Ichetucknee River], 2800). pH = unweighted mean of Table 1's per-site-per-flow-regime means across the 4 sites in this reach section (low/high/flood x 4 sites = 12 values). Discharge NOT REPORTED (not tabulated per-site in accessible text). Temperature_C NOT REPORTED: only a regional annual air-temperature climate figure (20.4C) is given (Introduction/Study site), not a stream water temperature measurement. Internal_Pathway/External_Pathway UPDATED (user instruction): per user direction, External_Pathway = CO2 sourced by bicarbonate/carbonate mineral dissolution; Internal_Pathway = the remainder. This paper has no in-stream GPP/ER/NEP metabolism data -- it partitions DIC geochemically via delta13C-DIC into biogenic (soil-respired) vs. geogenic (carbonate-dissolution) origins, a different framework than the Internal(metabolism)/External(groundwater) split used elsewhere in this meta-analysis, applied here per explicit instruction rather than the pipeline's default convention. Discussion 4.1: in the carbonate-dominated lower basin, 'up to half of the DIC may originate from carbonate minerals' because 'half of the DIC originates from the enriched carbonate (d13CDIC ~0 permil) during the dissolution reaction' -- treated here as 50%. External = 0.50 x CO2_flux (1.101) = 0.551 gC/m2/d; Internal = remainder = 0.551 gC/m2/d.","Table 2 (CO2 degassing) + Table 1 (pH), Khadka et al. 2014",Subtropical,140
10.1016/j.jhydrol.2014.03.070,"(Khadka et al., 2014)","Santa Fe River watershed (~3585 km2), north-central Florida, USA",Upper_SFR,subtropical karst river,NOT REPORTED,3.167,6.3,NOT REPORTED,3.167,0,"Confined aquifer; surface runoff and interflow producing DOC-rich tannic water, river disappears underground at River Sink",Surface runoff,"Table 2 day-weighted annual CO2 degassing rate (1156 gC/m2/yr) / 365 = 3.167 gC/m2/d, upper Santa Fe River (confined Floridan aquifer beneath Hawthorn Group; sites 700, 1000 [New River], 1500, River Sink). pH = unweighted mean of Table 1's per-site-per-flow-regime means across the 4 sites in this reach section (low/high/flood x 4 sites = 12 values). Discharge NOT REPORTED (not tabulated per-site in accessible text). Temperature_C NOT REPORTED: only a regional annual air-temperature climate figure (20.4C) is given (Introduction/Study site), not a stream water temperature measurement. Internal_Pathway/External_Pathway UPDATED (user instruction): per user direction, External_Pathway = CO2 sourced by bicarbonate/carbonate mineral dissolution; Internal_Pathway = the remainder. This paper has no in-stream GPP/ER/NEP metabolism data -- it partitions DIC geochemically via delta13C-DIC into biogenic (soil-respired) vs. geogenic (carbonate-dissolution) origins, a different framework than the Internal(metabolism)/External(groundwater) split used elsewhere in this meta-analysis, applied here per explicit instruction rather than the pipeline's default convention. Discussion 4.1 states the upper (siliciclastic) basin shows 'lack of carbonate rock-water interaction' -- i.e. no carbonate-dissolution contribution -- so External_Pathway = 0.000 gC/m2/d and Internal_Pathway = the full CO2_flux (3.167) as the remainder.","Table 2 (CO2 degassing) + Table 1 (pH), Khadka et al. 2014",Subtropical,140
10.1029/2022JG006954,"(Kirk & Cohen, 2023)","Santa Fe River network, north-central Florida, USA (southeastern coastal plain)",DRAIN,"subtropical lowland blackwater headwater stream, confined aquifer, extensive riparian wetlands",0.076,6.986,4.331,20.06,2.462,7.682,"Shallow perched groundwater routed through riparian wetlands; Hawthorne confining unit forces lateral groundwater through organic-rich riparian soils (blackwater, low pH, high DOC)",Wetland seepage,"Kirk all_daily_data.csv per-site daily values (n=146). GPP_O2=0.027, ER_O2=-6.592 gO2/m2/d. GPP_C=GPP_O2*12/32=0.010; ER_C=|ER|*12/32*1.0 (RQ=1.0)=2.472 gC/m2/d. Internal=ER_C-GPP_C; External=CO2_flux-Internal. External = RIP+TER+AQU directly from Kirk's own published mass-balance partition (RIP=5.354, TER=2.328, AQU=0.000 gC/m2/d; AQU=0 where not applicable/no spring input), per instructions section 8 -- NOT back-calculated as CO2_flux-Internal. CO2_flux = |fCO2| (Kirk's own modeled total evasion). Mass-balance residual (CO2_flux - (Internal+External)) = -3.158 gC/m2/d (Kirk's model also has an unassigned 'other' term not included here). Temperature_C = mean of temp.water column.",Kirk Supplement/all_daily_data.csv (per-site daily mass-balance model output),Subtropical,140
10.1029/2022JG006954,"(Kirk & Cohen, 2023)","Santa Fe River network, north-central Florida, USA (southeastern coastal plain)",ICHE,"subtropical lowland spring-fed karst river, unconfined aquifer, minimal riparian wetlands",9.963,4.55,7.153,21.82,-0.134,16.288,"Spring-fed, deep karst aquifer discharge bypassing riparian zone; confining unit eroded, discrete artesian Floridan springs dominate",Groundwater-fed,"Kirk all_daily_data.csv per-site daily values (n=233). GPP_O2=7.769, ER_O2=-7.412 gO2/m2/d. GPP_C=GPP_O2*12/32=2.913; ER_C=|ER|*12/32*1.0 (RQ=1.0)=2.779 gC/m2/d. Internal=ER_C-GPP_C; External=CO2_flux-Internal. External = RIP+TER+AQU directly from Kirk's own published mass-balance partition (RIP=0.500, TER=5.479, AQU=10.309 gC/m2/d; AQU=0 where not applicable/no spring input), per instructions section 8 -- NOT back-calculated as CO2_flux-Internal. CO2_flux = |fCO2| (Kirk's own modeled total evasion). Mass-balance residual (CO2_flux - (Internal+External)) = -11.604 gC/m2/d (Kirk's model also has an unassigned 'other' term not included here). Temperature_C = mean of temp.water column. FLAG: NET_AUTO",Kirk Supplement/all_daily_data.csv (per-site daily mass-balance model output),Subtropical,140
10.1029/2022JG006954,"(Kirk & Cohen, 2023)","Santa Fe River network, north-central Florida, USA (southeastern coastal plain)",SF1000,"subtropical lowland blackwater third-order stream, confined aquifer, extensive riparian wetlands",1.86,3.744,5.909,21.28,3.921,2.599,"Shallow perched groundwater routed through riparian wetlands; Hawthorne confining unit forces lateral groundwater through organic-rich riparian soils (blackwater, low pH, high DOC)",Wetland seepage,"Kirk all_daily_data.csv per-site daily values (n=192). GPP_O2=-0.228, ER_O2=-10.229 gO2/m2/d. GPP_C=GPP_O2*12/32=-0.086; ER_C=|ER|*12/32*1.0 (RQ=1.0)=3.836 gC/m2/d. Internal=ER_C-GPP_C; External=CO2_flux-Internal. External = RIP+TER+AQU directly from Kirk's own published mass-balance partition (RIP=2.211, TER=0.389, AQU=0.000 gC/m2/d; AQU=0 where not applicable/no spring input), per instructions section 8 -- NOT back-calculated as CO2_flux-Internal. CO2_flux = |fCO2| (Kirk's own modeled total evasion). Mass-balance residual (CO2_flux - (Internal+External)) = -2.776 gC/m2/d (Kirk's model also has an unassigned 'other' term not included here). Temperature_C = mean of temp.water column.",Kirk Supplement/all_daily_data.csv (per-site daily mass-balance model output),Subtropical,140
10.1029/2022JG006954,"(Kirk & Cohen, 2023)","Santa Fe River network, north-central Florida, USA (southeastern coastal plain)",SF1500,"subtropical lowland blackwater fourth-order stream, confined aquifer, extensive riparian wetlands",6.989,7.056,6.148,20.97,4.038,0.86,"Shallow perched groundwater routed through riparian wetlands; Hawthorne confining unit forces lateral groundwater through organic-rich riparian soils (blackwater, low pH, high DOC)",Wetland seepage,"Kirk all_daily_data.csv per-site daily values (n=224). GPP_O2=0.471, ER_O2=-11.237 gO2/m2/d. GPP_C=GPP_O2*12/32=0.176; ER_C=|ER|*12/32*1.0 (RQ=1.0)=4.214 gC/m2/d. Internal=ER_C-GPP_C; External=CO2_flux-Internal. External = RIP+TER+AQU directly from Kirk's own published mass-balance partition (RIP=0.707, TER=0.153, AQU=0.000 gC/m2/d; AQU=0 where not applicable/no spring input), per instructions section 8 -- NOT back-calculated as CO2_flux-Internal. CO2_flux = |fCO2| (Kirk's own modeled total evasion). Mass-balance residual (CO2_flux - (Internal+External)) = 2.158 gC/m2/d (Kirk's model also has an unassigned 'other' term not included here). Temperature_C = mean of temp.water column.",Kirk Supplement/all_daily_data.csv (per-site daily mass-balance model output),Subtropical,140
10.1029/2022JG006954,"(Kirk & Cohen, 2023)","Santa Fe River network, north-central Florida, USA (southeastern coastal plain)",SF2500,"subtropical lowland fifth-order river, unconfined karst aquifer, minimal riparian wetlands",43.757,8.185,7.061,22.1,2.225,31.179,"Spring-fed, deep karst aquifer discharge bypassing riparian zone; confining unit eroded, discrete artesian Floridan springs dominate",Groundwater-fed,"Kirk all_daily_data.csv per-site daily values (n=154). GPP_O2=5.427, ER_O2=-11.361 gO2/m2/d. GPP_C=GPP_O2*12/32=2.035; ER_C=|ER|*12/32*1.0 (RQ=1.0)=4.260 gC/m2/d. Internal=ER_C-GPP_C; External=CO2_flux-Internal. External = RIP+TER+AQU directly from Kirk's own published mass-balance partition (RIP=1.310, TER=7.054, AQU=22.815 gC/m2/d; AQU=0 where not applicable/no spring input), per instructions section 8 -- NOT back-calculated as CO2_flux-Internal. CO2_flux = |fCO2| (Kirk's own modeled total evasion). Mass-balance residual (CO2_flux - (Internal+External)) = -25.219 gC/m2/d (Kirk's model also has an unassigned 'other' term not included here). Temperature_C = mean of temp.water column.",Kirk Supplement/all_daily_data.csv (per-site daily mass-balance model output),Subtropical,140
